Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Murray County,GA,Bagley Middle School,130384002086,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Murray County,GA,Bagley Middle School,130384002086,2015,Total enrollment,,,2.00,2.00,0.00,127.00,4.00,400.00,7.00,542.00,59.00,43.00
GA,Murray County,GA,Spring Place Elementary School,130384001383,2015,Classroom Teachers,45.50,45.50,,,,,,,,,,
GA,Murray County,GA,Spring Place Elementary School,130384001383,2015,Classroom teachers in their first year of teaching,8.00,,,,,,,,,,,
GA,Murray County,GA,Spring Place Elementary School,130384001383,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Murray County,GA,Spring Place Elementary School,130384001383,2015,Teachers absent more than 10 days of the school year,8.00,,,,,,,,,,,
GA,Murray County,GA,Spring Place Elementary School,130384001383,2015,Teachers employed during current school year,46.00,,,,,,,,,,,
GA,Murray County,GA,Spring Place Elementary School,130384001383,2015,Teachers employed during both the current and previous school year,35.00,,,,,,,,,,,
GA,Murray County,GA,Spring Place Elementary School,130384001383,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Murray County,GA,Spring Place Elementary School,130384001383,2015,Total enrollment,,,7.00,0.00,0.00,277.00,5.00,409.00,4.00,702.00,89.00,229.00

