Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Cobb County,GA,Chalker Elementary School,130129002058,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Chalker Elementary School,130129002058,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Chalker Elementary School,130129002058,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Chalker Elementary School,130129002058,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Chalker Elementary School,130129002058,2015,Total enrollment,,0.00,49.00,0.00,97.00,151.00,319.00,43.00,659.00,83.00,13.00,61.00
GA,Cobb County,GA,North Cobb High School,130129000525,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,North Cobb High School,130129000525,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,North Cobb High School,130129000525,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,North Cobb High School,130129000525,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,North Cobb High School,130129000525,2015,Total enrollment,,4.00,133.00,4.00,433.00,970.00,1162.00,127.00,2833.00,320.00,52.00,40.00
GA,Cobb County,GA,Kennesaw Elementary School,130129000552,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Kennesaw Elementary School,130129000552,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Kennesaw Elementary School,130129000552,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Kennesaw Elementary School,130129000552,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Kennesaw Elementary School,130129000552,2015,Total enrollment,,4.00,22.00,0.00,118.00,151.00,295.00,52.00,642.00,86.00,4.00,91.00
GA,Cobb County,GA,Devereux Ackerman Academy,130129003679,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Devereux Ackerman Academy,130129003679,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Devereux Ackerman Academy,130129003679,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Devereux Ackerman Academy,130129003679,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Devereux Ackerman Academy,130129003679,2015,Total enrollment,,0.00,0.00,0.00,4.00,58.00,31.00,4.00,97.00,62.00,4.00,2.00

